銘柄コード,銘柄名,信用区分,新規売建可能数量(在庫株数量)(株(口)),プレミアム料(1株あたり)
195A,ＭＵＳＣＡＴ　ＧＲＯＵＰ,デイトレ,1500,0.90
1960,サンテック,デイトレ,2900,0.90
1961,三機工業,デイトレ,5000,0.00
1961,三機工業,長期,857500,
1963,日揮ホールディングス,デイトレ,23600,0.00
1963,日揮ホールディングス,長期,23600,
1964,中外炉工業,デイトレ,1300,0.00
1964,中外炉工業,長期,12700,0.21
1965,テクノ菱和,デイトレ,1500,0.00
1966,高田工業所,デイトレ,2800,0.00
1967,ヤマト,デイトレ,200,0.00
1968,太平電業,デイトレ,1000,0.00
1968,太平電業,長期,154100,
1969,高砂熱学工業,デイトレ,7400,0.00
1969,高砂熱学工業,長期,678100,
196A,ＭＦＳ,デイトレ,700,0.90
1972,三晃金属工業,デイトレ,8400,0.00
1975,朝日工業社,デイトレ,3800,0.00
1975,朝日工業社,長期,64600,0.21
1976,明星工業,デイトレ,6600,0.00
1976,明星工業,長期,79000,
1979,大気社,デイトレ,1700,0.00
1979,大気社,長期,265200,
197A,タウンズ,デイトレ,14000,0.00
1980,ダイダン,デイトレ,5200,0.00
1980,ダイダン,長期,582000,
1982,日比谷総合設備,デイトレ,3100,0.00
1982,日比谷総合設備,長期,58500,
1992,神田通信機,デイトレ,100,2.60
1994,高橋カーテンウォール工業,デイトレ,1400,0.82
2001,ニップン,デイトレ,3700,0.00
2001,ニップン,長期,178700,
2002,日清製粉グループ本社,デイトレ,13600,0.00
2002,日清製粉グループ本社,長期,1570800,
2003,日東富士製粉,デイトレ,2400,0.00
2004,昭和産業,デイトレ,900,0.00
2004,昭和産業,長期,80100,
200A,ＮＥＸＴ　ＦＵＮＤＳ　日経半導体株指数連動型上場投信,デイトレ,25671,0.00
2011,ＳＭＤＡＭ　Ａｃｔｉｖｅ　ＥＴＦ　日本高配当株式,デイトレ,40,1.30
2012,ｉシェアーズ　米国債０－３ヶ月　ＥＴＦ,デイトレ,240,0.00
