約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
2024/3/22,ＫＤＤＩ,9433,--,株式現物買,--, 特定 ,--,1,4540,--,--,2024/3/26,4540
2024/3/22,沖縄セルラー電話,9436,--,株式現物買,--, 特定 ,--,1,3655,--,--,2024/3/26,3655
2024/3/25,まんだらけ,2652,--,株式現物買,--, 特定 ,--,1,2825,--,--,2024/3/27,2825
2024/3/25,ニチバン,4218,--,株式現物買,--, 特定 ,--,1,1952,--,--,2024/3/27,1952
2024/3/25,ぴあ,4337,--,株式現物買,--, 特定 ,--,1,3310,--,--,2024/3/27,3310
2024/3/25,ツツミ,7937,--,株式現物買,--, 特定 ,--,1,2163,--,--,2024/3/27,2163
2024/3/26,プロクレアホールディングス,7384,--,株式現物買,--, 特定 ,--,1,1935,--,--,2024/3/28,1935
2024/3/27,ダスキン,4665,--,株式現物買,--, 特定 ,--,1,3378,--,--,2024/3/29,3378
2024/3/27,ラウンドワン,4680,東証,株式現物買,--, 特定 ,--,300,790,--,--,2024/3/29,237000
2024/3/27,ツツミ,7937,東証,株式現物買,--, 特定 ,--,100,2130,--,--,2024/3/29,213000
2024/3/27,ラウンドワン,4680,東証,信用新規売,15日, 特定 ,--,300,790,--,--,2024/3/29,--
2024/3/27,ツツミ,7937,東証,信用新規売,15日, 特定 ,--,100,2130,--,--,2024/3/29,--
2024/3/28,小林製薬,4967,東証,株式現物売,--, 一般 ,申告,100,4866,--,--,2024/4/1,486600
2024/3/28,モスフードサービス,8153,--,株式現物売,--, 一般 ,申告,1,3460,--,--,2024/4/1,3460
2024/3/28,小林製薬,4967,東証,株式現物買,--, 一般 ,--,100,4871,--,--,2024/4/1,487100
2024/3/28,モスフードサービス,8153,--,株式現物買,--, 一般 ,--,1,3445,--,--,2024/4/1,3445
2024/3/28,ラウンドワン,4680,--,現渡,15日, 特定 ,申告,300,790,101,--,2024/4/1,236899
2024/3/28,ツツミ,7937,--,現渡,15日, 特定 ,申告,100,2130,91,--,2024/4/1,212909
2024/3/28,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,1321,東証,株式現物売,--, 一般 ,申告,1,42040,--,--,2024/4/1,42040
2024/3/28,上場インデックスファンド２２５,1330,東証,株式現物売,--, 一般 ,申告,1,42010,--,--,2024/4/1,42010
2024/3/28,上場インデックスファンド日経レバレッジ指数,1358,東証,株式現物売,--, 特定 ,申告,1,56680,--,--,2024/4/1,56680
2024/3/28,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,1365,東証,株式現物売,--, 特定 ,申告,1,47430,--,--,2024/4/1,47430
2024/3/28,楽天ＥＴＦ－日経レバレッジ指数連動型,1458,東証,株式現物売,--, 一般 ,申告,1,36130,--,--,2024/4/1,36130
2024/3/28,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型,1570,東証,株式現物売,--, 一般 ,申告,1,30560,--,--,2024/4/1,30560
2024/3/28,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,1321,東証,株式現物買,--, 一般 ,--,1,42070,--,--,2024/4/1,42070
2024/3/28,上場インデックスファンド２２５,1330,東証,株式現物買,--, 一般 ,--,1,42040,--,--,2024/4/1,42040
2024/3/28,上場インデックスファンド日経レバレッジ指数,1358,東証,株式現物買,--, 特定 ,--,1,56690,--,--,2024/4/1,56690
2024/3/28,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,1365,東証,株式現物買,--, 特定 ,--,1,47440,--,--,2024/4/1,47440
2024/3/28,楽天ＥＴＦ－日経レバレッジ指数連動型,1458,東証,株式現物買,--, 一般 ,--,1,36150,--,--,2024/4/1,36150
2024/3/28,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型,1570,東証,株式現物買,--, 一般 ,--,1,30590,--,--,2024/4/1,30590
2024/4/5,ニチバン,4218,--,株式現物売,--, 特定 ,申告,1,1958,--,--,2024/4/9,1958
2024/4/5,カナデン,8081,--,株式現物売,--, 特定 ,申告,1,1467,--,--,2024/4/9,1467
2024/4/8,ロック・フィールド,2910,--,株式現物買,--, 特定 ,--,1,1675,--,--,2024/4/10,1675
2024/4/8,コーア商事ホールディングス,9273,--,株式現物買,--, 特定 ,--,1,856,--,--,2024/4/10,856
2024/4/10,ツツミ,7937,--,株式現物売,--, 特定 ,申告,1,2064,--,--,2024/4/12,2064
2024/4/12,ビューティガレージ,3180,--,株式現物買,--, 特定 ,--,1,1995,--,--,2024/4/16,1995
2024/4/25,ファースト住建,8917,--,株式現物買,--, 特定 ,--,1,1093,--,--,2024/4/30,1093
2024/5/7,ハニーズホールディングス,2792,--,株式現物買,--, 特定 ,--,1,1718,--,--,2024/5/9,1718
2024/5/8,ツルハホールディングス,3391,東証,株式現物買,--, 特定 ,--,100,10000,--,--,2024/5/10,1000000
2024/5/8,ツルハホールディングス,3391,東証,信用新規売,15日, 特定 ,--,100,10000,--,--,2024/5/10,--
2024/5/13,まんだらけ,2652,--,株式現物売,--, 特定 ,申告,4,520,--,--,2024/5/15,2080
2024/5/13,ヴィレッジヴァンガードコーポレーション,2769,--,株式現物買,--, 特定 ,--,1,1066,--,--,2024/5/15,1066
2024/5/13,ラクト・ジャパン,3139,--,株式現物買,--, 特定 ,--,1,2699,--,--,2024/5/15,2699
2024/5/13,トーセイ,8923,--,株式現物買,--, 特定 ,--,1,2357,--,--,2024/5/15,2357
2024/5/13,キユーソー流通システム,9369,--,株式現物買,--, 特定 ,--,1,1203,--,--,2024/5/15,1203
2024/5/14,ツルハホールディングス,3391,--,現渡,15日, 特定 ,申告,100,10000,747,--,2024/5/16,999253
2024/5/17,ｅＢＡＳＥ,3835,--,株式現物売,--, 特定 ,申告,1,691,--,--,2024/5/21,691
2024/5/17,日本毛織,3201,--,株式現物買,--, 特定 ,--,1,1336,--,--,2024/5/21,1336
2024/5/29,ＦＰパートナー,7388,東証,信用新規売,15日, 特定 ,--,100,4065,--,--,2024/5/31,--
2024/5/30,ＦＰパートナー,7388,東証,信用返済買,15日, 特定 ,申告,100,3950,173,--,2024/6/3,11327
2024/6/3,ＣＡＲＴＡ　ＨＯＬＤＩＮＧＳ,3688,--,株式現物買,--, 特定 ,--,1,1663,--,--,2024/6/5,1663
2024/6/6,メディアスホールディングス,3154,東証,信用新規売,6ヶ月, 特定 ,--,400,958,--,--,2024/6/10,--
