約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
2025/2/21,アダストリア,2685,東証,信用新規売,15日, 特定 ,--,100,2988,--,--,2025/2/26,--
2025/2/21,コメダホールディングス,3543,東証,信用新規売,15日, 特定 ,--,100,2685,--,--,2025/2/26,--
2025/2/21,スギホールディングス,7649,東証,信用新規売,15日, 特定 ,--,200,2741,--,--,2025/2/26,--
2025/2/25,ハイデイ日高,7611,東証,株式現物買,--, 特定 ,--,1000,2697,--,--,2025/2/27,2697000
2025/2/26,カワチ薬品,2664,東証,株式現物買,--, 特定 ,--,100,2627,--,--,2025/2/28,262700
2025/2/26,北の達人コーポレーション,2930,東証,株式現物買,--, 特定 ,--,100,172,--,--,2025/2/28,17200
2025/2/26,トレジャー・ファクトリー,3093,東証,株式現物買,--, 特定 ,--,100,1504,--,--,2025/2/28,150400
2025/2/26,ＳＦＰホールディングス,3198,東証,株式現物買,--, 特定 ,--,100,2151,--,--,2025/2/28,215100
2025/2/26,カワチ薬品,2664,東証,信用新規売,15日, 特定 ,--,100,2627,--,--,2025/2/28,--
2025/2/26,トレジャー・ファクトリー,3093,東証,信用新規売,15日, 特定 ,--,100,1504,--,--,2025/2/28,--
2025/2/27,北の達人コーポレーション,2930,東証,株式現物売,--, 特定 ,申告,100,163,--,--,2025/3/3,16300
2025/2/27,ＳＦＰホールディングス,3198,東証,株式現物売,--, 特定 ,申告,100,2092,--,--,2025/3/3,209200
2025/2/27,イオンファンタジー,4343,東証,株式現物売,--, 特定 ,申告,200,2886,--,--,2025/3/3,577200
2025/2/27,ハイデイ日高,7611,東証,株式現物売,--, 特定 ,申告,1000,2672,--,--,2025/3/3,2672000
2025/2/27,ミニストップ,9946,東証,株式現物売,--, 特定 ,申告,100,1695,--,--,2025/3/3,169500
2025/2/27,アダストリア,2685,--,現渡,15日, 特定 ,申告,100,2988,191,--,2025/3/3,298609
2025/2/27,トレジャー・ファクトリー,3093,--,現渡,15日, 特定 ,申告,100,1504,64,--,2025/3/3,150336
2025/2/27,ユナイテッド・スーパーマーケット・ホールディングス,3222,--,現渡,15日, 特定 ,申告,100,799,128,--,2025/3/3,79772
2025/2/27,コメダホールディングス,3543,--,現渡,15日, 特定 ,申告,100,2685,172,--,2025/3/3,268328
2025/2/27,バロックジャパンリミテッド,3548,--,現渡,15日, 特定 ,申告,100,771,90,--,2025/3/3,77010
2025/2/27,スギホールディングス,7649,--,現渡,15日, 特定 ,申告,200,2741,351,--,2025/3/3,547849
2025/2/27,ラックランド,9612,--,現渡,15日, 特定 ,申告,100,1834,274,--,2025/3/3,183126
2025/2/27,吉野家ホールディングス,9861,--,現渡,15日, 特定 ,申告,200,2914,1556,--,2025/3/3,581244
2025/2/27,大庄,9979,--,現渡,15日, 特定 ,申告,100,1090,128,--,2025/3/3,108872
2025/3/6,コロワイド,7616,東証,株式現物買,--, 特定 ,--,500,1743,--,--,2025/3/10,871500
2025/3/6,ナック,9788,東証,株式現物買,--, 特定 ,--,100,659,--,--,2025/3/10,65900
2025/3/6,コロワイド,7616,東証,信用新規売,15日, 特定 ,--,500,1743,--,--,2025/3/10,--
2025/3/6,ナック,9788,東証,信用新規売,15日, 特定 ,--,100,659,--,--,2025/3/10,--
2025/3/13,カワチ薬品,2664,--,現渡,15日, 特定 ,申告,100,2627,505,--,2025/3/17,262195
2025/3/17,上新電機,8173,--,株式現物買,--, 一般 ,--,1,2216,--,--,2025/3/19,2216
