銘柄名,銘柄コード,市場,弁済期限(いちにち),弁済期限(14日),弁済期限(無期限),売建可能数量[株],優待権利付き最終日,株主優待,特別空売り料[円],現在値[円],前日比[円],当日株価変動率[％],日中出来高増減率[％],ティック数,出来高[株],直近高値騰落率[％],貸借区分,逆日歩[円]
"ライドオンエクスプレスＨＤ","6082","東証","○","-","-","0","03/29","有","0.20","983","-8","-0.80 %","-","38","7,900","-0.80 %","信用","0.00"
"三井Ｅ＆Ｓ","7003","東証","○","-","○","80,200","-","無","0.00","4,411","58","-0.80 %","-","7,005","1,874,800","-2.17 %","貸借","0.00"
"三菱地所","8802","東証","○","-","○","68,100","-","無","0.00","4,215","126","-0.80 %","-","7,690","3,021,500","-1.56 %","貸借","0.00"
"グローバルＸチャイナテック","380A","東証","○","-","-","177","-","無","0.00","971","12","-0.81 %","-","76","12,625","-0.91 %","貸借","0.00"
"ＨＵグループＨＤ","4544","東証","○","-","○","12,000","-","無","0.00","3,391.0","2.0","-0.81 %","-","970","242,600","-1.16 %","貸借","0.20"
"エコス","7520","東証","○","-","-","500","08/27","有","0.20","2,301","-15","-0.81 %","-","123","22,200","-2.08 %","信用","0.00"
"きんえい","9636","東証","○","-","-","0","07/29","有","4.30","4,260","-25","-0.81 %","-","10","1,200","-0.93 %","信用","0.00"
"船井総研ホールディン","9757","東証","○","-","○","79,500","12/28","有","0.00","1,091","4","-0.81 %","-","745","479,400","-1.80 %","貸借","0.00"
"コシダカホールディングス","2157","東証","○","-","○","0","08/27","有","0.00","967","0","-0.82 %","-","679","341,700","-1.02 %","貸借","0.00"
"ロート製薬","4527","東証","○","-","○","36,100","03/29","有","0.00","2,405.5","14.0","-0.82 %","-","2,853","762,600","-1.15 %","貸借","0.00"
"さくらさくプラス","7097","東証","○","-","-","200","07/29","有","1.60","3,005","0","-0.82 %","-","37","5,500","-1.47 %","信用","0.00"
"ハピネット","7552","東証","○","-","○","11,100","03/29","有","0.00","2,990","-25","-0.82 %","-","548","128,800","-2.44 %","貸借","0.00"
"カプコン","9697","東証","○","-","○","66,000","-","無","0.00","3,253.0","37.0","-0.82 %","-","5,101","2,195,000","-1.51 %","貸借","0.00"
"加藤産業","9869","東証","○","-","○","1,000","03/29","有","0.00","6,000","0","-0.82 %","-","100","29,100","-1.47 %","貸借","0.30"
"ＧＸＳ＆Ｐ５００ＣＦＴ１００","356A","東証","○","-","-","26","-","無","2.00","1,544","-10","-0.83 %","-","31","1,550","-1.90 %","貸借","0.00"
"日亜鋼業","5658","東証","○","-","-","600","-","無","0.00","357","-1","-0.83 %","-","53","56,400","-0.83 %","貸借","0.00"
"オプトエレクトロニクス","6664","東証","○","-","-","0","-","無","0.20","238","-1","-0.83 %","-","16","10,300","-2.05 %","貸借","0.00"
"三井倉庫ＨＯＬＤ","9302","東証","○","-","○","9,000","-","無","0.00","3,545.0","4.0","-0.83 %","-","774","180,700","-2.04 %","貸借","0.10"
"西松建設","1820","東証","○","-","○","22,800","-","無","0.00","5,255","4","-0.84 %","-","424","95,200","-1.95 %","貸借","0.00"
"伊藤ハム米久ＨＬＤＧＳ","2296","東証","○","-","○","7,600","03/29","有","0.00","4,720","10","-0.84 %","-","381","158,900","-1.56 %","貸借","0.00"
"ダイドーグループＨＤ","2590","東証","○","-","-","1,400","07/15","有","0.00","2,692","26","-0.84 %","-","341","98,700","-1.28 %","貸借","0.05"
"アトム","7412","東証","○","-","-","4,600","09/28","有","0.60","354","-4","-0.84 %","-","744","828,600","-5.34 %","貸借","0.05"
"ニックス","4243","東証","○","-","-","100","-","無","0.20","928","-7","-0.85 %","-","12","2,300","-3.33 %","信用","0.00"
"ＺＵＵ","4387","東証","○","-","-","100","03/29","有","0.50","463","0","-0.85 %","-","5","1,000","-0.85 %","信用","0.00"
"コジマ","7513","東証","○","-","○","0","08/27","有","0.00","1,271","5","-0.85 %","-","414","149,500","-2.53 %","貸借","0.05"
"コメリ","8218","東証","○","-","-","800","09/28","有","0.00","3,475","25","-0.85 %","-","222","53,900","-2.25 %","貸借","0.00"
"ＴＯＰＩＸベア上場投信","1569","東証","○","-","-","1,510","-","無","0.00","746.0","-10.5","-0.86 %","-","80","506,940","-1.63 %","貸借","0.00"
"大森屋","2917","東証","○","-","-","100","09/28","有","0.80","917","-8","-0.86 %","-","7","2,900","-1.29 %","信用","0.00"
"ホットマン","3190","東証","○","-","-","100","09/28","有","1.00","572","-1","-0.86 %","-","13","4,300","-0.86 %","信用","0.00"
"チェンジホールディングス","3962","東証","○","-","-","3,300","12/28","有","0.90","914","-3","-0.86 %","-","587","213,800","-1.72 %","貸借","0.05"
"ＡＣＣＥＳＳ","4813","東証","○","-","-","3,500","-","無","0.00","343","3","-0.86 %","-","448","282,700","-2.55 %","貸借","0.05"
"ＶＴホールディングス","7593","東証","○","-","○","0","09/28","有","0.00","460","0","-0.86 %","-","393","380,700","-1.07 %","貸借","0.00"
"ＫＡＤＯＫＡＷＡ","9468","東証","○","-","-","8,100","09/28","有","0.00","3,669.0","11.0","-0.86 %","-","1,780","388,300","-2.36 %","貸借","0.10"
"ハリマビステム","9780","東証","○","-","-","300","-","無","0.80","915","2","-0.86 %","-","20","14,300","-0.97 %","信用","0.00"
"ＮＦ米債７－１０ヘッジ有","2648","東証","○","-","-","0","-","無","2.00","3,390","1","-0.87 %","-","8","65","-0.87 %","貸借","0.00"
"カゴメ","2811","東証","○","-","○","52,600","12/28","有","0.00","2,658.5","0.5","-0.87 %","-","780","232,700","-1.59 %","貸借","0.00"
"ピックルスホールディングス","2935","東証","○","-","○","1,400","02/24","有","0.10","1,130","-10","-0.87 %","-","85","16,600","-1.22 %","信用","0.00"
"ガンホー・オンライン・エンター","3765","東証","○","-","○","35,500","-","無","0.00","2,367","22","-0.87 %","-","809","238,800","-1.21 %","貸借","0.00"
"ザ・パック","3950","東証","○","-","○","12,000","12/28","有","0.00","1,358","0","-0.87 %","-","364","95,100","-1.87 %","貸借","0.05"
"ニイタカ","4465","東証","○","-","-","0","11/26","有","1.50","2,147","3","-0.87 %","-","62","9,800","-1.73 %","貸借","0.00"
"ＳＢＩアルヒ","7198","東証","○","-","-","1,300","09/28","有","0.00","790","-1","-0.87 %","-","182","99,700","-1.00 %","貸借","0.00"
"リブセンス","6054","東証","○","-","-","0","-","無","0.00","112","0","-0.88 %","-","32","36,600","-0.88 %","貸借","0.00"
"オカムラ","7994","東証","○","-","○","18,900","-","無","0.00","2,241","-1","-0.88 %","-","771","216,300","-2.39 %","貸借","0.00"
"スズケン","9987","東証","○","-","○","1,300","03/29","有","0.00","4,950","26","-0.88 %","-","827","194,600","-2.03 %","貸借","0.10"
"ＭＵＳＣＡＴＧＲＯＵＰ","195A","東証","○","-","-","100","09/28","有","0.60","665","-11","-0.89 %","-","24","5,300","-3.34 %","信用","0.00"
"ソケッツ","3634","東証","○","-","-","200","03/29","有","0.40","551","-6","-0.89 %","-","17","5,000","-5.00 %","信用","0.00"
"中央発條","5992","東証","○","-","-","200","-","無","0.00","3,860","-15","-0.89 %","-","59","10,500","-1.90 %","貸借","0.20"
"フロンティアインターナショナル","7050","東証","○","-","-","200","-","無","0.40","1,332","13","-0.89 %","-","27","6,300","-0.96 %","信用","0.00"
"ＡＯＫＩホールディングス","8214","東証","○","-","○","100","09/28","有","0.00","1,659","4","-0.89 %","-","414","129,900","-0.95 %","貸借","0.00"
"デジタルアーツ","2326","東証","○","-","○","12,100","-","無","0.00","3,845","90","-0.90 %","-","407","116,000","-1.78 %","貸借","0.00"
"ＭｏｎｏｔａＲＯ","3064","東証","○","-","○","167,800","-","無","0.00","1,922.5","55.5","-0.90 %","-","5,329","1,746,800","-1.05 %","貸借","0.00"
"科研製薬","4521","東証","○","-","○","17,500","-","無","0.00","3,825","0","-0.90 %","-","201","97,200","-1.29 %","貸借","0.00"
"ダスキン","4665","東証","○","-","-","1,000","09/28","有","0.00","4,389","8","-0.90 %","-","315","70,200","-1.28 %","貸借","0.20"
"千代田インテグレ","6915","東証","○","-","○","5,100","-","無","0.00","3,270","-5","-0.90 %","-","46","6,900","-1.20 %","貸借","0.00"
"群馬銀行","8334","東証","○","-","-","9,100","09/28","有","0.00","2,419.0","13.5","-0.90 %","-","3,398","903,900","-1.42 %","貸借","0.00"
"日東富士製粉","2003","東証","○","-","○","16,000","-","無","0.00","1,734","-16","-0.91 %","-","132","28,800","-1.81 %","貸借","0.05"
"ＭＩＸＩ","2121","東証","○","-","○","12,200","-","無","0.00","2,813","7","-0.91 %","-","1,126","342,900","-1.40 %","貸借","0.00"
"プリマハム","2281","東証","○","-","-","800","09/28","有","0.00","2,386","-3","-0.91 %","-","374","78,300","-1.72 %","貸借","0.00"
"クロスキャット","2307","東証","○","-","○","100","09/28","有","0.10","977","-9","-0.91 %","-","134","32,700","-1.11 %","信用","0.00"
"フジオフードＧ本社","2752","東証","○","-","-","2,000","12/28","有","0.00","1,079","2","-0.91 %","-","408","117,000","-2.44 %","貸借","0.10"
"あさひ","3333","東証","○","-","○","4,100","-","無","0.00","1,303","-6","-0.91 %","-","371","86,300","-1.73 %","貸借","0.05"
"北越コーポレーション","3865","東証","○","-","-","2,100","-","無","0.00","866","6","-0.91 %","-","492","164,200","-1.25 %","貸借","0.05"
"ヴィア・ホールディングス","7918","東証","○","-","-","0","03/29","有","0.10","108","-1","-0.91 %","-","138","48,700","-1.81 %","信用","0.00"
"ルックホールディングス","8029","東証","○","-","○","6,300","12/28","有","0.00","2,706","-25","-0.91 %","-","28","4,600","-1.56 %","貸借","0.00"
"ツルハホールディングス","3391","東証","○","-","○","114,100","02/24","有","0.00","2,133.0","29.0","-0.92 %","-","4,758","1,792,300","-1.84 %","貸借","0.00"
"朝日インテック","7747","東証","○","-","○","10,100","-","無","0.00","3,864","83","-0.92 %","-","2,464","811,600","-1.65 %","貸借","0.00"
"千趣会","8165","東証","○","-","-","0","-","無","0.00","107","-1","-0.92 %","-","136","173,800","-1.83 %","貸借","0.00"
"ニッソウ","1444","東証","○","-","-","0","07/29","有","2.10","2,851","4","-0.93 %","-","22","3,200","-1.51 %","信用","0.00"
"ｍｅｉｔｏ","2207","東証","○","-","-","0","09/28","有","0.00","3,195","-30","-0.93 %","-","164","38,300","-2.14 %","貸借","0.20"
"キッズスター","248A","東証","○","-","-","0","-","無","0.50","852","-8","-0.93 %","-","9","1,600","-1.38 %","信用","0.00"
"エル・ティー・エス","6560","東証","○","-","-","0","-","無","0.00","1,809","-24","-0.93 %","-","29","5,300","-2.68 %","貸借","0.00"
"ファルテック","7215","東証","○","-","-","300","-","無","0.10","426","-4","-0.93 %","-","7","1,900","-1.16 %","信用","0.00"
"ニチハ","7943","東証","○","-","○","3,600","-","無","0.00","2,982","-23","-0.93 %","-","173","39,300","-2.38 %","貸借","0.15"
"グルメ杵屋","9850","東証","○","-","-","0","09/28","有","0.00","954","-8","-0.93 %","-","104","77,200","-1.13 %","貸借","0.05"
"Ｕｍｉｏｓ","1333","東証","○","-","○","75,400","03/29","有","0.00","1,307.5","-1.5","-0.94 %","-","1,125","327,300","-1.35 %","貸借","0.00"
"ツムラ","4540","東証","○","-","○","300","09/28","有","0.00","3,755","28","-0.94 %","-","912","237,000","-1.05 %","貸借","0.00"
"オービック","4684","東証","○","-","○","28,100","-","無","0.10","3,996","60","-0.94 %","-","3,473","1,623,600","-1.43 %","信用","0.00"
"ＧＸＵＳ適格社債","468A","東証","○","-","-","160","-","無","0.40","293.8","-2.0","-0.94 %","-","18","7,660","-1.37 %","信用","0.00"
"エン","4849","東証","○","-","○","9,000","-","無","0.00","1,152","5","-0.94 %","-","461","152,000","-1.79 %","貸借","0.05"
"イボキン","5699","東証","○","-","-","100","-","無","0.80","1,465","-8","-0.94 %","-","30","4,600","-1.41 %","信用","0.00"
"オーネックス","5987","東証","○","-","-","800","-","無","0.80","1,783","-12","-0.94 %","-","3","300","-0.94 %","信用","0.00"
"松屋","8237","東証","○","-","○","0","08/27","有","0.00","1,673","-10","-0.94 %","-","721","170,300","-4.83 %","貸借","0.10"
"ケーユーホールディングス","9856","東証","○","-","○","17,800","-","無","0.00","1,150","-2","-0.94 %","-","51","11,700","-0.94 %","貸借","0.00"
"ＮＦ運輸物流Ｔ１７","1628","東証","○","-","-","13","-","無","0.00","20,715","40","-0.95 %","-","47","794","-2.74 %","貸借","0.00"
"兼房","5984","東証","○","-","-","100","-","無","0.40","726","-7","-0.95 %","-","15","2,900","-1.49 %","信用","0.00"
"ＳＡＮＫＹＯ","6417","東証","○","-","○","100","09/28","有","0.00","1,604.0","-15.0","-0.95 %","-","2,115","744,800","-2.58 %","貸借","0.00"
"コア","2359","東証","○","-","○","6,900","03/29","有","0.00","1,941","-9","-0.96 %","-","106","17,300","-1.37 %","貸借","0.00"
"朝日ネット","3834","東証","○","-","○","22,400","-","無","0.00","616","-1","-0.96 %","-","89","44,200","-1.28 %","貸借","0.00"
"ブロードバンドセキュリテ","4398","東証","○","-","-","0","12/28","有","1.40","1,235","0","-0.96 %","-","21","2,600","-1.20 %","信用","0.00"
"ニホンフラッシュ","7820","東証","○","-","○","17,900","-","無","0.00","717","1","-0.96 %","-","86","30,700","-1.23 %","貸借","0.00"
"クリナップ","7955","東証","○","-","○","9,000","-","無","0.00","926","5","-0.96 %","-","171","55,600","-1.27 %","貸借","0.00"
"矢作建設","1870","東証","○","-","○","17,100","-","無","0.00","1,830","-1","-0.97 %","-","363","123,600","-1.45 %","貸借","0.00"
"ＧＸ優先証券ＥＴＦ","2866","東証","○","-","-","0","-","無","0.00","1,014","-6","-0.97 %","-","192","44,716","-0.97 %","貸借","5.00"
"ＳＲＡホールディングス","3817","東証","○","-","○","11,200","-","無","0.00","4,550","5","-0.97 %","-","118","20,100","-0.97 %","貸借","0.00"
"伊勢化学工業","4107","東証","○","-","-","0","-","無","11.30","4,060","0","-0.97 %","-","1,188","346,000","-8.96 %","信用","0.00"
"サトー","6287","東証","○","-","○","4,400","-","無","0.00","2,333","-23","-0.97 %","-","626","114,400","-2.79 %","貸借","0.00"
"セーラー万年筆","7992","東証","○","-","-","0","-","無","0.10","102","-1","-0.97 %","-","12","8,200","-1.92 %","信用","0.00"
"中国電力","9504","東証","○","-","○","133,200","-","無","0.00","916.4","6.0","-0.97 %","-","5,227","1,631,800","-2.29 %","貸借","0.00"
"ツカダ・グローバルＨＯＬＤ","2418","東証","○","-","-","1,400","12/28","有","0.40","606","0","-0.98 %","-","164","64,100","-1.14 %","貸借","0.00"
"ストリーム","3071","東証","○","-","-","0","01/27","有","0.20","101","0","-0.98 %","-","26","15,000","-0.98 %","信用","0.00"
"Ａｉｍｉｎｇ","3911","東証","○","-","-","11,800","-","無","0.10","201","-2","-0.98 %","-","284","348,100","-1.47 %","信用","0.00"
"プロネクサス","7893","東証","○","-","-","500","09/28","有","0.00","1,101","-9","-0.98 %","-","113","35,800","-1.78 %","貸借","0.00"
"ロイヤルホールディングス","8179","東証","○","-","-","7,400","12/28","有","0.00","1,210","6","-0.98 %","-","593","308,400","-1.14 %","貸借","0.00"
"ＪＰＸ日経４００ベア２倍","1469","東証","○","-","-","170","-","無","0.20","190.0","-2.1","-0.99 %","-","47","16,390","-2.56 %","貸借","0.00"
"イーエムシステムズ","4820","東証","○","-","-","0","12/28","有","0.00","500","0","-0.99 %","-","233","100,400","-0.99 %","貸借","0.00"
"セガサミーホールディングス","6460","東証","○","-","○","30,600","-","無","0.00","2,331.5","26.5","-0.99 %","-","2,627","771,500","-1.20 %","貸借","0.00"
"グリーンランドリゾート","9656","東証","○","-","-","0","12/28","有","0.50","598","0","-0.99 %","-","14","5,000","-0.99 %","貸借","0.00"
"ＩＦＴＯＰＩＸインバース","1457","東証","○","-","-","1,092","-","無","0.00","1,782","-23","-1.00 %","-","54","109,211","-1.76 %","貸借","0.00"
"きょくとう","2300","東証","○","-","-","200","02/24","有","0.70","494","-4","-1.00 %","-","46","10,300","-2.17 %","信用","0.00"
"双日","2768","東証","○","-","○","169,300","-","無","0.00","5,227","21","-1.00 %","-","2,741","829,700","-1.47 %","貸借","0.00"
"リソー教育グループ","4714","東証","○","-","○","5,500","-","無","0.00","197","-2","-1.00 %","-","157","305,100","-1.99 %","貸借","0.00"
"瑞光","6279","東証","○","-","-","0","02/17","有","0.00","891","-7","-1.00 %","-","94","21,100","-1.54 %","貸借","0.05"
"燦ホールディングス","9628","東証","○","-","○","15,100","-","無","0.00","1,383","-14","-1.00 %","-","115","31,000","-1.63 %","貸借","0.00"
"日本ハム","2282","東証","○","-","○","0","09/28","有","0.00","6,117","33","-1.01 %","-","2,369","505,400","-2.28 %","貸借","0.00"
"田中商事","7619","東証","○","-","-","0","-","無","0.00","881","-7","-1.01 %","-","17","12,700","-1.56 %","貸借","0.00"
"ゼンリン","9474","東証","○","-","○","38,100","-","無","0.00","882","-3","-1.01 %","-","360","179,200","-1.23 %","貸借","0.00"
"ＮＦ食品Ｔ１７","1617","東証","○","-","-","5","-","無","39.00","48,120","50","-1.02 %","-","51","328","-1.77 %","貸借","0.00"
"フォースタートアップス","7089","東証","○","-","-","500","-","無","1.10","1,552","4","-1.02 %","-","139","24,900","-1.02 %","信用","0.00"
"いちごグリーンインフラ","9282","東証","○","-","-","19","12/28","有","11.00","48,050","-800","-1.02 %","-","53","209","-3.51 %","信用","0.00"
"鹿島建設","1812","東証","○","-","○","46,000","-","無","0.00","6,128","136","-1.03 %","-","6,925","1,830,400","-1.36 %","貸借","0.00"
"ＳＰ５００ＥＷＨ無","426A","東証","○","-","-","27","-","無","2.00","1,249","2","-1.03 %","-","32","16,967","-1.03 %","信用","0.00"
"東京窯業","5363","東証","○","-","-","700","03/29","有","0.00","671","-1","-1.03 %","-","136","67,000","-2.61 %","貸借","0.00"
"エイチ・ツー・オーリテイリング","8242","東証","○","-","○","0","09/28","有","0.00","2,870.0","7.0","-1.03 %","-","1,741","507,400","-2.18 %","貸借","0.00"
"イーレックス","9517","東証","○","-","○","0","09/28","有","0.00","763","6","-1.03 %","-","538","159,700","-1.42 %","貸借","0.00"
"アルファシステムズ","4719","東証","○","-","○","0","09/28","有","0.00","3,315","-85","-1.04 %","-","65","13,100","-3.07 %","貸借","0.00"
"天龍製鋸","5945","東証","○","-","-","2,100","-","無","1.80","2,464","-18","-1.04 %","-","5","900","-2.33 %","信用","0.00"
"カーメイト","7297","東証","○","-","-","1,500","-","無","0.70","851","-9","-1.04 %","-","5","700","-1.04 %","信用","0.00"
"名古屋鉄道","9048","東証","○","-","○","0","09/28","有","0.00","1,840.5","-1.5","-1.04 %","-","1,396","557,800","-1.41 %","貸借","0.00"
"ベルク","9974","東証","○","-","-","400","08/27","有","0.00","6,600","60","-1.04 %","-","128","35,700","-1.63 %","貸借","0.00"
"日揮ホールディングス","1963","東証","○","-","○","38,700","-","無","0.00","2,493.5","-4.5","-1.05 %","-","4,478","1,470,500","-1.71 %","貸借","0.00"
"デジタルハーツＨＬＤＧＳ","3676","東証","○","-","-","1,900","03/29","有","0.00","749","-8","-1.05 %","-","475","183,600","-2.34 %","貸借","0.00"
"明治機械","6334","東証","○","-","-","700","-","無","0.40","470","-4","-1.05 %","-","46","34,300","-3.29 %","信用","0.00"
"Ｕ－ＮＥＸＴＨＯＬＤＩＮＧＳ","9418","東証","○","-","○","0","08/27","有","0.00","1,682","-3","-1.05 %","-","863","476,900","-1.40 %","貸借","0.00"
"ＭＦＳ","196A","東証","○","-","-","800","-","無","0.30","279","-8","-1.06 %","-","33","9,400","-3.46 %","信用","0.00"
"ルネサンス","2378","東証","○","-","-","0","09/28","有","0.00","1,024","-5","-1.06 %","-","120","70,500","-1.25 %","貸借","0.05"
"ベガコーポレーション","3542","東証","○","-","-","100","03/29","有","2.00","1,399","2","-1.06 %","-","36","6,900","-1.06 %","貸借","0.00"
"エーザイ","4523","東証","○","-","○","96,200","-","無","0.00","4,255","67","-1.06 %","-","4,025","1,598,200","-2.00 %","貸借","0.00"
"エイベックス","7860","東証","○","-","-","0","09/28","有","0.00","1,206","-5","-1.06 %","-","470","193,300","-1.79 %","貸借","0.00"
"ヨンドシーホールディングス","8008","東証","○","-","-","1,000","08/27","有","0.00","1,958","-21","-1.06 %","-","312","80,300","-1.31 %","貸借","0.00"
"シップヘルスケアＨＤ","3360","東証","○","-","○","2,900","-","無","0.00","2,255.0","-4.0","-1.07 %","-","889","222,600","-1.44 %","貸借","0.00"
"清和中央ＨＤ","7531","東証","○","-","-","800","-","無","0.10","1,291","0","-1.07 %","-","2","300","-1.07 %","信用","0.00"
"パーソルホールディングス","2181","東証","○","-","○","338,500","-","無","0.00","254.2","2.1","-1.08 %","-","5,824","6,159,100","-1.24 %","貸借","0.00"
"マツキヨココカラ＆カンパニー","3088","東証","○","-","○","0","09/28","有","0.00","2,405.0","12.5","-1.08 %","-","4,467","2,062,700","-1.69 %","貸借","0.00"
"文化シヤツタ－","5930","東証","○","-","-","800","09/28","有","0.00","1,914","-3","-1.08 %","-","219","53,100","-1.39 %","貸借","0.00"
"ピーエイ","4766","東証","○","-","-","0","12/28","有","0.10","180","-2","-1.09 %","-","18","12,000","-2.17 %","信用","0.00"
"トーセイ","8923","東証","○","-","○","30,600","11/26","有","0.00","1,714","16","-1.09 %","-","731","201,500","-1.60 %","貸借","0.05"
"ＩＳ米ドル建ＨＹ社債","2258","東証","○","-","-","960","-","無","0.00","232.3","-0.7","-1.10 %","-","147","94,910","-1.10 %","貸借","0.00"
"スタジオアリス","2305","東証","○","-","-","0","08/27","有","0.00","1,876","-19","-1.10 %","-","147","38,000","-1.31 %","貸借","0.10"
"東ソー","4042","東証","○","-","○","100,600","-","無","0.00","2,826.5","-11.5","-1.10 %","-","4,227","1,258,100","-3.84 %","貸借","0.00"
"資生堂","4911","東証","○","-","○","79,800","12/28","有","0.00","2,769.0","57.0","-1.10 %","-","7,349","3,222,100","-2.15 %","貸借","0.00"
"大豊工業","6470","東証","○","-","○","9,400","-","無","0.00","1,071","-21","-1.10 %","-","311","70,300","-2.81 %","貸借","0.00"
"ムサシ","7521","東証","○","-","-","0","-","無","1.00","2,769","19","-1.10 %","-","9","4,200","-2.84 %","信用","0.00"
"アイナボホールディングス","7539","東証","○","-","-","0","09/28","有","1.00","806","-8","-1.10 %","-","72","15,000","-2.65 %","貸借","0.00"
"第一ライフグループ","8750","東証","○","-","○","265,600","03/29","有","0.00","1,843.0","18.5","-1.10 %","-","8,862","8,334,300","-1.15 %","貸借","0.00"
"アサックス","8772","東証","○","-","-","200","03/29","有","0.70","806","-2","-1.10 %","-","25","7,800","-1.10 %","信用","0.00"
"上場Ｓ＆Ｐインバース","2240","東証","○","-","-","2","-","無","0.00","5,399","-13","-1.11 %","-","7","89","-1.81 %","貸借","0.00"
"ＭＸＳ中国Ａ株１８０","2530","東証","○","-","-","0","-","無","11.00","17,800","-200","-1.11 %","-","5","14","-3.93 %","貸借","0.00"
"エディオン","2730","東証","○","-","-","3,100","09/28","有","0.00","2,212","7","-1.11 %","-","713","209,900","-1.86 %","貸借","0.00"
"ペッパーフードサービス","3053","東証","○","-","-","1,700","12/28","有","0.00","177","0","-1.11 %","-","298","370,600","-3.27 %","貸借","0.05"
"ユナイテッド・スーパーマーケ","3222","東証","○","-","○","330,900","08/27","有","0.00","801","3","-1.11 %","-","563","314,100","-1.47 %","貸借","0.00"
"早稲田アカデミー","4718","東証","○","-","○","0","09/28","有","0.00","2,404","16","-1.11 %","-","52","14,500","-2.07 %","貸借","0.05"
"武田薬品","4502","東証","○","-","○","140,600","-","無","0.00","5,359","85","-1.12 %","-","9,450","4,074,200","-2.82 %","貸借","0.10"
"ネクセラファーマ","4565","東証","○","-","○","38,400","-","無","0.00","970","10","-1.12 %","-","1,028","544,400","-3.00 %","貸借","0.00"
"ＥＷＥＬＬ","5038","東証","○","-","-","0","-","無","1.00","1,933","-14","-1.12 %","-","194","39,200","-3.15 %","信用","0.00"
"サンエー化研","4234","東証","○","-","-","0","-","無","0.60","695","-5","-1.13 %","-","18","3,100","-1.69 %","信用","0.00"
"ＦＩＸＥＲ","5129","東証","○","-","-","1,500","-","無","1.60","261","-3","-1.13 %","-","190","77,900","-7.44 %","貸借","0.05"
"菊水ホールディングス","6912","東証","○","-","-","200","-","無","1.40","1,996","-23","-1.13 %","-","41","6,200","-2.01 %","信用","0.00"
"日産車体","7222","東証","○","-","○","6,200","-","無","0.00","959","4","-1.13 %","-","348","86,100","-1.13 %","貸借","0.00"
"東京瓦斯","9531","東証","○","-","○","24,800","-","無","0.00","6,037","31","-1.13 %","-","2,876","730,100","-1.42 %","貸借","0.00"
"ＮＦ商社卸売Ｔ１７","1629","東証","○","-","-","37,350","-","無","0.20","251.1","4.1","-1.14 %","-","1,113","3,734,320","-3.42 %","貸借","0.00"
"ＡＬＳＯＫ","2331","東証","○","-","○","24,400","-","無","0.00","1,082.5","6.0","-1.14 %","-","2,057","983,700","-1.41 %","貸借","0.00"
"コーセル","6905","東証","○","-","○","11,800","11/18","有","0.00","1,474","-52","-1.14 %","-","677","189,200","-6.47 %","貸借","0.05"
"ＧＸＵＳ中小モートＥＴＦ","2252","東証","○","-","-","24","-","無","0.00","1,459","-1","-1.15 %","-","7","82","-5.99 %","貸借","0.00"
"ＶＩＸ先物ＥＴＦ","318A","東証","○","-","-","8,640","-","無","0.00","443.6","-14.4","-1.15 %","-","953","863,490","-3.62 %","貸借","0.00"
"エレコム","6750","東証","○","-","○","19,000","-","無","0.00","1,804","0","-1.15 %","-","582","161,600","-1.58 %","貸借","0.00"
"ＪＫホールディングス","9896","東証","○","-","○","8,400","-","無","0.00","1,450","-8","-1.15 %","-","98","17,600","-3.65 %","貸借","0.00"
"フリー","4478","東証","○","-","-","0","-","無","3.20","2,124","8","-1.16 %","-","1,787","541,300","-1.84 %","貸借","0.15"
"ＯＲＣＨＥＳＴＲＡＨＬＤＧＳ","6533","東証","○","-","-","500","12/28","有","0.10","1,183","8","-1.16 %","-","49","8,700","-1.33 %","信用","0.00"
"ココルポート","9346","東証","○","-","-","200","-","無","1.10","1,614","-19","-1.16 %","-","52","7,500","-1.94 %","信用","0.00"
"前澤給装工業","6485","東証","○","-","-","200","09/28","有","0.00","1,520","-9","-1.17 %","-","104","21,300","-2.25 %","貸借","0.00"
"大黒屋ホールディングス","6993","東証","○","-","-","0","-","無","0.50","84","-1","-1.17 %","-","610","7,765,200","-9.67 %","貸借","0.00"
"パイロットコーポレーション","7846","東証","○","-","○","18,200","12/28","有","0.00","1,724.5","2.5","-1.17 %","-","602","206,300","-1.96 %","貸借","0.05"
"ＭＡＸＩＳ高配当７０ＭＮ","1499","東証","○","-","-","0","-","無","9.00","8,625","47","-1.18 %","-","11","44","-2.54 %","貸借","0.00"
"ＩＦインドＮＩＦＴＹ５０","233A","東証","○","-","-","0","-","無","0.00","1,916","-3","-1.18 %","-","58","3,878","-1.18 %","貸借","0.00"
"綿半ホールディングス","3199","東証","○","-","○","0","09/28","有","0.00","1,333","-12","-1.18 %","-","133","23,900","-2.70 %","貸借","0.00"
"アイリッジ","3917","東証","○","-","-","100","-","無","0.00","418","-5","-1.18 %","-","26","10,100","-1.41 %","貸借","0.00"
"エラン","6099","東証","○","-","○","11,900","-","無","0.00","749","-10","-1.18 %","-","287","94,100","-2.60 %","貸借","0.00"
"東京海上ＨＤ","8766","東証","○","-","○","281,000","-","無","0.00","7,584","73","-1.18 %","-","12,271","4,994,400","-1.33 %","貸借","0.00"
"学研ホールディングス","9470","東証","○","-","○","0","09/28","有","0.00","1,002","-12","-1.18 %","-","277","74,900","-1.66 %","貸借","0.05"
"フジ・メディア・ＨＤ","4676","東証","○","-","○","0","09/28","有","0.00","3,970","-26","-1.19 %","-","1,495","362,300","-2.60 %","貸借","0.00"
